"JLN Medical College, Ajmer (Old Section)",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,AJMER
Mittal Hospital & Research Center,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,AJMER
MH,Cat. I - Dedicated COVID Hospitals / DCH,Central Ministry Hospital,AJMER
Lords Hospital Alwar,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,ALWAR
Sant Sukhdev Hospital Alwar,Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,ALWAR
RAJIV GANDHI GENERAL HOSPITAL,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,ALWAR
"MAHATMA GANDHI HOSPITAL, BANSWARA",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,BANSWARA
"Priya Hospital, Baran",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,BARAN
PMO Barmer(DH),Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,BARMER
Jindal Nursing Home,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,BHARATPUR
DH BHILWARA,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,BHILWARA
"Super Speciality Block PBM Hospital,Bikaner",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,BIKANER
PBSS Govt Hopital Bundi (DH),Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,BUNDI
SSG Govt Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,CHITTORGARH
D. B. Hospital churu,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,CHURU
Shri Ramkaran Joshi District Hospital Dausa,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,DAUSA
Government District Hospital Dholpur,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,DHOLPUR
Medical collegel Hospital Dungarpur,Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,DUNGARPUR
176 MH,Cat. I - Dedicated COVID Hospitals / DCH,Central Ministry Hospital,GANGANAGAR
jan sewa Hospital tantia Univeraity,Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,GANGANAGAR
District Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,GANGANAGAR
"Hissaria Multispeciality Hospital,",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,HANUMANGARH
Hanumangarh Town,,,
MAHATMA GANDHI MEMORIAL HOSPITAL,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,HANUMANGARH
HANUMANGARH TOWN,,,
"SMS( Charak Block), Jaipur-I",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,JAIPUR
"Eternal Heart Care Centre, Jaipur - 2",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,JAIPUR
"SHALBY, CHITRAKUT, JAIPUR-I",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,JAIPUR
"C K Birla Hospital ( R B H ), Jaipur - 2",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,JAIPUR
"JNU Hospital, Jaipur - 2",Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,JAIPUR
"Mahatama Gandhi Hospital, Jaipur - 2",Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,JAIPUR
"Fortis Escorts Hospital, Jaipur - 2",Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,JAIPUR
"RUHS, Jaipur-2",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,JAIPUR
SDMH JAIPUR,Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,JAIPUR
RDBP Jaipuria Hospital (Jaipur-2),Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,JAIPUR
SHREE JAWAHAR HOSPITAL JAISALMER (DH),Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,JAISALMER
Govt. Bhandari General Hospital Jalore,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,JALORE
S R G HOSPITAL JHALAWAR,Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,JHALAWAR
Govt BDK Hospital Jhunjhunu,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,JHUNJHUNU
AIIMS,Cat. I - Dedicated COVID Hospitals / DCH,Central Ministry Hospital,JODHPUR
MGH Jodhpur,Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,JODHPUR
Mathuradas Mathur Hospital,Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,JODHPUR
MH,Cat. I - Dedicated COVID Hospitals / DCH,Central Ministry Hospital,JODHPUR
"NMCH Hospital, kota",Cat. I - Dedicated COVID Hospitals / DCH,Govt Medical College,KOTA
JLN HOSPITAL NAGAUR,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,NAGAUR
"Government Bangur Hospital, Pali",Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,PALI
District Hospital Pratapgarh,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,PRATAPGARH
R.K. District Hospital Rajsamand,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,RAJSAMAND
Ananta Medical Collage,Cat. I - Dedicated COVID Hospitals / DCH,Private Medical College,RAJSAMAND
GENERAL HOSPITAL SAWAI MADHOPUR,Cat. I - Dedicated COVID Hospitals / DCH,Govt Hospitals,SAWAI MADHOPUR
GURUKRIPA HOSPITAL RESEARCH CENTRE P,Cat. I - Dedicated COVID Hospitals / DCH,Private Hospitals,SIKAR
