Philedelphia mission,Private Hospitals,Cat. I - Dedicated COVID,AMBALA
Hospital pvt,,Hospitals / DCH,
Rotery Hospital Ambala,Private Hospitals,Cat. I - Dedicated COVID,AMBALA
cantt Pvt,,Hospitals / DCH,
MM Medical College Pvt,Private Medical,Cat. I - Dedicated COVID,AMBALA
,College,Hospitals / DCH,
MH,Central Ministry,Cat. I - Dedicated COVID,AMBALA
,Hospital,Hospitals / DCH,
Kadam Hospital,Private Hospitals,Cat. I - Dedicated COVID,BHIWANI
,,Hospitals / DCH,
Murari Lal Rasiwasia,Private Medical,Cat. I - Dedicated COVID,CHARKI DADRI
Ayurvedic Hospital,College,Hospitals / DCH,
Park Hospital,Private Hospitals,Cat. I - Dedicated COVID,FARIDABAD
,,Hospitals / DCH,
"Sarvodya Hospital, Sector 8",Private Hospitals,Cat. I - Dedicated COVID,FARIDABAD
,,Hospitals / DCH,
Al-Falah Hospital,Private Medical,Cat. I - Dedicated COVID,FARIDABAD
,College,Hospitals / DCH,
"ESIC Medical College,",Govt Medical,Cat. I - Dedicated COVID,FARIDABAD
Faridabad,College,Hospitals / DCH,
"Medeor Hospital ,Manesar,",Private Hospitals,Cat. I - Dedicated COVID,GURUGRAM
Gurugram,,Hospitals / DCH,
Park Hospital Gurugram,Private Hospitals,Cat. I - Dedicated COVID,GURUGRAM
,,Hospitals / DCH,
SGT Medical College &,Private Medical College,Cat. I - Dedicated COVID Hospitals / DCH,GURUGRAM
"Research Institute, Budhera, Gurgaon",,,
"ESIC Hospital, Sector-9",Govt Hospitals,Cat. I - Dedicated COVID,GURUGRAM
,,Hospitals / DCH,
MAMC Agroha,Govt Medical,Cat. I - Dedicated COVID,HISAR
,College,Hospitals / DCH,
Central Medical Centre,Private Hospitals,Cat. I - Dedicated COVID,HISAR
(CMC),,Hospitals / DCH,
Brahm Shakti Sanjivani,Private Hospitals,Cat. I - Dedicated COVID,JHAJJAR
"Hospital, B.garh",,Hospitals / DCH,
"Delhi Hospital, Bahadurgarh",Private Hospitals,Cat. I - Dedicated COVID,JHAJJAR
,,Hospitals / DCH,
"RJ Super Speciality Hospital,",Private Hospitals,Cat. I - Dedicated COVID,JHAJJAR
B.garh,,Hospitals / DCH,
"Shivam Hospital, B.garh",Private Hospitals,Cat. I - Dedicated COVID,JHAJJAR
,,Hospitals / DCH,
AIIMS,Central Ministry,Cat. I - Dedicated COVID,JHAJJAR
,Hospital,Hospitals / DCH,
"Jeewan Jyoti Hospital,",Private Hospitals,Cat. I - Dedicated COVID,JHAJJAR
Bahadurgarh,,Hospitals / DCH,
Park Hospital,Private Hospitals,Cat. I - Dedicated COVID,KARNAL
,,Hospitals / DCH,
Adesh Medical College,Private Medical,Cat. I - Dedicated COVID,KURUKSHETRA
,College,Hospitals / DCH,
Civil Hospital Narnaul,Govt Hospitals,Cat. I - Dedicated COVID,MAHENDRAGA
,,Hospitals / DCH,RH
SHKM GMC Nalhar,Govt Medical,Cat. I - Dedicated COVID,NUH
,College,Hospitals / DCH,
Shri. Satya Sai Sanjivani,Private Hospitals,Cat. I - Dedicated COVID,PALWAL
Hospital Palwal,,Hospitals / DCH,
"Gurunanak Hospital,Palwal",Private Hospitals,Cat. I - Dedicated COVID,PALWAL
,,Hospitals / DCH,
Paras Hospital Pvt,Private Hospitals,Cat. I - Dedicated COVID,PANCHKULA
,,Hospitals / DCH,
Civil Hospital Panchkula,Govt Hospitals,Cat. I - Dedicated COVID,PANCHKULA
,,Hospitals / DCH,
Aayushmaan Bhav Hospital,Private Hospitals,Cat. I - Dedicated COVID,PANIPAT
,,Hospitals / DCH,
Park Hospital GT road,Private Hospitals,Cat. I - Dedicated COVID,PANIPAT
panipat,,Hospitals / DCH,
Pushpanjli Hospital,Private Hospitals,Cat. I - Dedicated COVID,REWARI
,,Hospitals / DCH,
Kainos Hospital,Private Hospitals,Cat. I - Dedicated COVID,ROHTAK
,,Hospitals / DCH,
PGIMS Rohtak,Govt Medical,Cat. I - Dedicated COVID,ROHTAK
,College,Hospitals / DCH,
