"Dhalaii District Hospital,Kulai",Government
District Hospital - Gomati Tripura,Government
District Hospital Khowai,Government
"District Hospital, North Tripura",Government
Sepahijala District Hospital,Government
"District Hospital, Santirbazar",Government
District Hospital Unakoti,Government
Agartala Hospital & Research Centre Pvt Ltd,Private
Borakha PHC,Government
Kanchanmala PHC,Government
Narsingarh PHC,Government
Chachubazar PHC,Government
Tripura Medical college and Dr.BRAM teaching Hospital,Private
Ranir Bazar Primary Health Centre,Government
Baijalbari Hospital,Private
IGM Hospital (New Building Under Construction),Private
Dr. Dipen Roy Clinic (Orthopaedic Surgeon ),Private
"ILS Hospitals, Agartala",Private
Tripura Sundari Hospital,Private
Teliamura Subdivision Hospital,Private
Venkataesware Hospitals,Private
Vhat Eye Hospital,Private
Regional Cancer Institute,Government
Ambassa PHC,Government
"Sub-divisional Hospital, Belonia",Government
Bishalghar Sub-divisional Hospital,Government
Marachara PHC,Government
Dharmanagar district hospital,Private
Dayaram Para Hospital,Private
New IGM Hospital Complex,Private
Kalyanpur Hospital,Private
Thelakung Hospital,Private
"Primary Health Centre, Atharobola",Government
"University Hospital, Tripura University",Government
NabaShantiganj PHC,Government
Atharavola Helath Centre,Government
Killa Primary Health Center,Government
Kanchanmala PHC,Government
"Tepania Hospital, Udaipur",Government
East Gakulnagar Health Sub-centre,Government
CGHS WELLNESS CENTRE AGARTALA,Government
MODERN PSYCHIATRY HOSPITAL,Government
Sonamura Gramin Hospital,Government
Government Ayurvedic Hospital,Government
Jirania Community Health Centre,Government
Dr. Chayan Bhattacharjee,Private
BSF Hospital,Private
"Trauma Centre, Govind Ballabh Pant Hospital",Private
Khumulwng Homeopathy Hospital,Private
ASR Hospitas PVT Ltd.,Private
OM SHANTI HEALTH SERVICES & Pathology Lab,Private
Gandacherra Sub Divisional Hospital,Government
